"StationName","Latitude","Longitude","RoadName","Region","Description","Direction","MilePost"
"005es13280","47.230422382","-122.452206138","005","Olympic","M ST.","NB","132.80"
"005es13280","47.230569212","-122.452263730","005","Olympic","M ST.","SB","132.80"
"005es13330","47.231150214","-122.441859377","005","Olympic","Tacoma Ave","NB","133.30"
"005es13330","47.231289394","-122.441909387","005","Olympic","Tacoma Ave","SB","133.30"
"005es12360","47.127286224","-122.541842832","005","Olympic","I5NB@Thorne Lane","NB","123.61"
"005es12360","47.127399683","-122.541985218","005","Olympic","I5NB@Thorne Lane","SB","123.61"
"005es12808","47.170441626","-122.472180368","005","Olympic","I5NB@96th Str S.","NB","128.09"
"005es12808","47.170447927","-122.472517266","005","Olympic","I5NB@96th Str S.","SB","128.09"
"005es13035","47.201619179","-122.461398418","005","Olympic","I5SB@S. 56th Str","NB","130.35"
"005es13035","47.201707185","-122.461668257","005","Olympic","I5SB@S. 56th Str","SB","130.35"
"512es00064","47.160056762","-122.467131631","512","Olympic","I5EB@Steele Str","EB","0.65"
"512es00064","47.159928395","-122.467205353","512","Olympic","I5EB@Steele Str","WB","0.65"
"512es00330","47.159175709","-122.411123703","512","Olympic","I5EB@Pacific Ave","EB","3.31"
"512es00330","47.159002438","-122.411109409","512","Olympic","I5EB@Pacific Ave","WB","3.31"
"016es00965","47.291790549","-122.564682487","016","Olympic","36th St.","EB","9.65"
"016es00418","47.258535035","-122.527057529","016","Olympic","Jackson DS","EB","4.18"
"016es00418","47.258701700","-122.526787573","016","Olympic","Jackson DS","WB","4.18"
"016es00288","47.247390941","-122.508807064","016","Olympic","N. Orchard-WB","EB","2.88"
"016es00228","47.240076282","-122.502030693","016","Olympic","S. Orchard - EB","WB","2.28"
"016es00174","47.234822912","-122.494403775","016","Olympic","Center St. - EB","WB","1.74"
"016es00152","47.234691919","-122.489932033","016","Olympic","Snake Lake DS","EB","1.52"
"016es00152","47.234902122","-122.489961733","016","Olympic","Snake Lake DS","WB","1.52"
"167es01375","47.294234512","-122.257330689","167","Northwest","15th St SW-SB","NB","13.75"
"167es01431","47.301715186","-122.252857417","167","Northwest","SR 18 I/C","NB","14.31"
"167es01476","47.308298763","-122.248509053","167","Northwest","W Main St","NB","14.76"
"167es01535","47.316326272","-122.244827112","167","Northwest","8th St NW","NB","15.35"
"167es01586","47.323674103","-122.244710256","167","Northwest","15th St NW-NB","NB","15.86"
"167es01586","47.323708434","-122.245175086","167","Northwest","15th St NW-NB","SB","15.86"
"167es01628","47.329716374","-122.244670999","167","Northwest","Emerald Downs","NB","16.28"
"167es01628","47.329814642","-122.245103364","167","Northwest","Emerald Downs","SB","16.28"
